# Functional-capacity implication scores for HPO terms.
# work = implication for inability to sustain competitive employment as an adult (0-3)
# care = implication for need of substantial daily personal assistance or supervision (0-3)
# 0 none  1 contributory  2 substantial  3 strongly implies on its own
# Scored on term semantics only, blind to disease labels. PROTOTYPE - to be replaced by clinician scores.
hp_id	label	work	care
HP:0001250	Seizure	2	1
HP:0001263	Global developmental delay	2	2
HP:0001249	Intellectual disability	2	2
HP:0001252	Hypotonia	1	1
HP:0004322	Short stature	0	0
HP:0000407	Sensorineural hearing impairment	1	0
HP:0000365	Hearing impairment	1	0
HP:0002650	Scoliosis	1	0
HP:0000252	Microcephaly	1	1
HP:0001508	Failure to thrive	1	1
HP:0001251	Ataxia	2	2
HP:0000316	Hypertelorism	0	0
HP:0000486	Strabismus	0	0
HP:0000639	Nystagmus	1	0
HP:0002240	Hepatomegaly	0	0
HP:0000347	Micrognathia	0	0
HP:0000369	Low-set ears	0	0
HP:0011968	Feeding difficulties	1	2
HP:0000750	Delayed speech and language development	1	1
HP:0000028	Cryptorchidism	0	0
HP:0000218	High palate	0	0
HP:0001270	Motor delay	1	1
HP:0005280	Depressed nasal bridge	0	0
HP:0001290	Generalized hypotonia	2	2
HP:0000518	Cataract	1	0
HP:0000286	Epicanthus	0	0
HP:0000508	Ptosis	0	0
HP:0000648	Optic atrophy	2	1
HP:0001510	Growth delay	0	0
HP:0000175	Cleft palate	0	0
HP:0001288	Gait disturbance	1	1
HP:0001260	Dysarthria	2	1
HP:0002015	Dysphagia	1	2
HP:0001257	Spasticity	2	2
HP:0001744	Splenomegaly	0	0
HP:0001511	Intrauterine growth retardation	0	0
HP:0001382	Joint hypermobility	0	0
HP:0001324	Muscle weakness	2	1
HP:0000494	Downslanted palpebral fissures	0	0
HP:0000431	Wide nasal bridge	0	0
HP:0001903	Anemia	1	0
HP:0002119	Ventriculomegaly	0	0
HP:0002007	Frontal bossing	0	0
HP:0002020	Gastroesophageal reflux	0	0
HP:0001347	Hyperreflexia	0	0
HP:0001629	Ventricular septal defect	0	0
HP:0000256	Macrocephaly	0	0
HP:0001631	Atrial septal defect	0	0
HP:0000505	Visual impairment	2	1
HP:0001332	Dystonia	2	2
HP:0001272	Cerebellar atrophy	2	2
HP:0001873	Thrombocytopenia	0	0
HP:0000470	Short neck	0	0
HP:0000545	Myopia	0	0
HP:0001156	Brachydactyly	0	0
HP:0000463	Anteverted nares	0	0
HP:0002205	Recurrent respiratory infections	1	1
HP:0000358	Posteriorly rotated ears	0	0
HP:0012378	Fatigue	2	1
HP:0011800	Midface retrusion	0	0
HP:0009830	Peripheral neuropathy	1	1
HP:0001265	Hyporeflexia	0	0
HP:0000708	Atypical behavior	1	1
HP:0002808	Kyphosis	0	0
HP:0000343	Long philtrum	0	0
HP:0000767	Pectus excavatum	0	0
HP:0008872	Feeding difficulties in infancy	1	1
HP:0000739	Anxiety	1	0
HP:0002013	Vomiting	1	0
HP:0001643	Patent ductus arteriosus	0	0
HP:0002910	Elevated circulating hepatic transaminase concentration	0	0
HP:0002376	Developmental regression	3	3
HP:0001337	Tremor	1	1
HP:0002019	Constipation	0	0
HP:0002059	Cerebral atrophy	2	2
HP:0002014	Diarrhea	1	0
HP:0004209	Clinodactyly of the 5th finger	0	0
HP:0000822	Hypertension	0	0
HP:0001945	Fever	0	0
HP:0000716	Depression	1	0
HP:0000729	Autistic behavior	2	2
HP:0001762	Talipes equinovarus	0	0
HP:0001763	Pes planus	0	0
HP:0000238	Hydrocephalus	1	1
HP:0002093	Respiratory insufficiency	2	2
HP:0000023	Inguinal hernia	0	0
HP:0001256	Mild intellectual disability	1	1
HP:0003196	Short nose	0	0
HP:0002079	Hypoplasia of the corpus callosum	1	1
HP:0000272	Malar flattening	0	0
HP:0001761	Pes cavus	0	0
HP:0000047	Hypospadias	0	0
HP:0003202	Skeletal muscle atrophy	2	2
HP:0002829	Arthralgia	1	0
HP:0002750	Delayed skeletal maturation	0	0
HP:0000405	Conductive hearing impairment	1	0
HP:0007018	Attention deficit hyperactivity disorder	1	0
HP:0000938	Osteopenia	0	0
HP:0000083	Renal insufficiency	1	1
HP:0001635	Congestive heart failure	2	1
HP:0003236	Elevated circulating creatine kinase concentration	0	0
