# mapping_set_id: https://w3id.org/monarch-initiative/rare-disease-identification/mappings/mondo_icd10cm_exactmatch_mendelian
# mapping_set_title: MONDO to ICD-10-CM exact matches recovered from Mendelian's first-pass worksheet
# mapping_set_version: '2026-09-17'
# mapping_set_description: 'ICD-10-CM codes that name a rare disease outright, for Mondo classes that carry no ICD-10-CM mapping at all. Every subject was checked against Mondo releases/2026-09-01: none of them has an existing exactmatch, closematch, narrowmatch, broadmatch, relatedmatch or hasdbxref row to ICD-10-CM in the published SSSOM releases. Every object code and label was resolved from the NLM Clinical Tables ICD-10-CM API (FY2026); labels in the source worksheet were not trusted. Nine of these fifteen were independently proposed by an automated lexical and LLM pipeline over the same disease list and reviewed at full confidence (mappings/rdi_novel_icd10cm_reviewed.sssom.tsv); the worksheet and that pipeline agree on all nine.'
# comment: 'Derived from ''Mendelian''s First Pass ICD-10 Priorities - Mar 2026'' (XLSX), a hand-built worksheet of 75 ICD-10-CM codes selected as EHR ascertainment handles, each annotated with the Mondo disease it stands for and marked ''Specific disease'' or ''Cluster''. The worksheet does not pin a Mondo version. Reconciliation against Mondo releases/2026-09-01 and ICD-10-CM FY2026, and the per-row comments, are ours. Patient counts quoted in comments are the worksheet''s own, from UNC Health via TriNetX, rounded to the nearest 10: single-site, and a signal rather than a prevalence estimate. NATURE OF THIS SET: proposals for curator review, not curated assertions. See background/mendelian-icd10-first-pass-interpretation.md and background/mendelian-xlsx-gap-analysis.html in monarch-initiative/rare-disease-identification.'
# license: https://creativecommons.org/publicdomain/zero/1.0/
# mapping_provider: https://github.com/monarch-initiative/rare-disease-identification
# mapping_tool: rdi-mendelian-worksheet-reconciliation
# mapping_date: '2026-09-17'
# subject_source: infores:mondo
# subject_source_version: releases/2026-09-01
# object_source: infores:icd10cm
# object_source_version: FY2026
# subject_type: owl class
# object_type: owl class
# curie_map:
#   ICD10CM: http://purl.bioontology.org/ontology/ICD10CM/
#   MONDO: http://purl.obolibrary.org/obo/MONDO_
#   biolink: https://w3id.org/biolink/vocab/
#   infores: https://w3id.org/information-resource-registry/
#   maprule: https://w3id.org/mondo/mapping-rules/
#   oboInOwl: http://www.geneontology.org/formats/oboInOwl#
#   owl: http://www.w3.org/2002/07/owl#
#   rdfs: http://www.w3.org/2000/01/rdf-schema#
#   semapv: https://w3id.org/semapv/vocab/
#   skos: http://www.w3.org/2004/02/skos/core#
#   sssom: https://w3id.org/sssom/
subject_id	subject_label	subject_category	predicate_id	object_id	object_label	object_category	mapping_justification	subject_type	object_type	subject_match_field	object_match_field	match_string	subject_preprocessing	mapping_date	mapping_tool	confidence	curation_rule_text	grouping_basis	comment	issue_tracker_item
MONDO:0007191	Behcet disease	biolink:Disease	skos:exactMatch	ICD10CM:M35.2	Behcet's disease	biolink:Disease	semapv:LexicalMatching	owl class	owl class	rdfs:label	rdfs:label	behcet disease	semapv:Lowercasing|semapv:RegularExpressionReplacement	2026-09-17	rdi-mendelian-worksheet-reconciliation	0.95	maprule:PR-001 same real-world concept | maprule:EV-004 match after declared lexical transformation		Worksheet targets M35.2. Label-identical after lowercasing and possessive removal. The worksheet reaches the same code and calls it a specific disease.	
MONDO:0007404	Cri-du-chat syndrome	biolink:Disease	skos:exactMatch	ICD10CM:Q93.4	Deletion of short arm of chromosome 5	biolink:Disease	semapv:CompositeMatching	owl class	owl class					2026-09-17	rdi-mendelian-worksheet-reconciliation	0.9	maprule:PR-001 same real-world concept | maprule:EV-012 adjudicated over retrieved candidates		Worksheet targets Q93. Q93.4 carries 'Cri-du-chat syndrome' as an ICD-10-CM inclusion term and 5p deletion is the defining lesion, so the two are coextensive despite unrelated labels. The worksheet targets the Q93 category, which also swallows Jacobsen, Williams, Wolf-Hirschhorn and Angelman.	
MONDO:0008644	velocardiofacial syndrome	biolink:Disease	skos:exactMatch	ICD10CM:Q93.81	Velo-cardio-facial syndrome	biolink:Disease	semapv:LexicalMatching	owl class	owl class	rdfs:label	rdfs:label	velocardiofacial syndrome	semapv:Lowercasing|semapv:RegularExpressionReplacement	2026-09-17	rdi-mendelian-worksheet-reconciliation	0.95	maprule:PR-001 same real-world concept | maprule:EV-004 match after declared lexical transformation		Worksheet targets (not in the worksheet). Label-identical after hyphen removal. Not in the worksheet at all: it targets D82.1 for 22q11.2 deletion syndrome and never picks up the other code the same deletion is recorded under.	
MONDO:0008667	von Hippel-Lindau disease	biolink:Disease	skos:exactMatch	ICD10CM:Q85.83	Von Hippel-Lindau syndrome	biolink:Disease	semapv:LexicalMatching	owl class	owl class	oboInOwl:hasExactSynonym	rdfs:label	von hippel-lindau syndrome	semapv:Lowercasing|semapv:RegularExpressionReplacement	2026-09-17	rdi-mendelian-worksheet-reconciliation	0.95	maprule:PR-001 same real-world concept | maprule:EV-004 match after declared lexical transformation		Worksheet targets Q85.8. Matches the Mondo exact synonym 'von Hippel-Lindau syndrome'. The worksheet targets the Q85.8 phakomatoses bucket, shared there with PTEN hamartoma tumour syndrome, Sturge-Weber and Peutz-Jeghers.	
MONDO:0010035	Smith-Lemli-Opitz syndrome	biolink:Disease	skos:exactMatch	ICD10CM:E78.72	Smith-Lemli-Opitz syndrome	biolink:Disease	semapv:LexicalMatching	owl class	owl class	rdfs:label	rdfs:label	smith-lemli-opitz syndrome	semapv:Lowercasing|semapv:RegularExpressionReplacement	2026-09-17	rdi-mendelian-worksheet-reconciliation	0.95	maprule:PR-001 same real-world concept | maprule:EV-004 match after declared lexical transformation		Worksheet targets Q87.1. Label-identical. ICD-10-CM files this with the sterol metabolism disorders, not with the Q87.1 malformation syndromes the worksheet targets, so the worksheet query returns no Smith-Lemli-Opitz patients.	
MONDO:0010383	fragile X syndrome	biolink:Disease	skos:exactMatch	ICD10CM:Q99.2	Fragile X chromosome	biolink:Disease	semapv:CompositeMatching	owl class	owl class					2026-09-17	rdi-mendelian-worksheet-reconciliation	0.9	maprule:PR-001 same real-world concept | maprule:EV-012 adjudicated over retrieved candidates		Worksheet targets Q99.2. Q99.2 carries 'Fragile X syndrome' as an ICD-10-CM inclusion term and has no other content. The worksheet reaches the same code and calls it a specific disease.	
MONDO:0010526	Fabry disease	biolink:Disease	skos:exactMatch	ICD10CM:E75.21	Fabry (-Anderson) disease	biolink:Disease	semapv:LexicalMatching	owl class	owl class	rdfs:label	rdfs:label	fabry disease	semapv:Lowercasing|semapv:RegularExpressionReplacement	2026-09-17	rdi-mendelian-worksheet-reconciliation	0.95	maprule:PR-001 same real-world concept | maprule:EV-004 match after declared lexical transformation		Worksheet targets E75. Label-identical after removing the parenthetical eponym. The worksheet targets the E75 category, which it shares with Niemann-Pick, Tay-Sachs and Gaucher.	
MONDO:0010726	Rett syndrome	biolink:Disease	skos:exactMatch	ICD10CM:F84.2	Rett's syndrome	biolink:Disease	semapv:LexicalMatching	owl class	owl class	rdfs:label	rdfs:label	rett syndrome	semapv:Lowercasing|semapv:RegularExpressionReplacement	2026-09-17	rdi-mendelian-worksheet-reconciliation	0.95	maprule:PR-001 same real-world concept | maprule:EV-004 match after declared lexical transformation		Worksheet targets F84.2. Label-identical after possessive removal. The worksheet reaches the same code and calls it a specific disease.	
MONDO:0015229	Bardet-Biedl syndrome	biolink:Disease	skos:exactMatch	ICD10CM:Q87.83	Bardet-Biedl syndrome	biolink:Disease	semapv:LexicalMatching	owl class	owl class	rdfs:label	rdfs:label	bardet-biedl syndrome	semapv:Lowercasing|semapv:RegularExpressionReplacement	2026-09-17	rdi-mendelian-worksheet-reconciliation	0.95	maprule:PR-001 same real-world concept | maprule:EV-004 match after declared lexical transformation		Worksheet targets Q87.8. Label-identical. The worksheet targets the Q87.8 category, shared there with Alport syndrome.	
MONDO:0016512	Kabuki syndrome	biolink:Disease	skos:exactMatch	ICD10CM:Q89.81	Kabuki syndrome	biolink:Disease	semapv:LexicalMatching	owl class	owl class	rdfs:label	rdfs:label	kabuki syndrome	semapv:Lowercasing|semapv:RegularExpressionReplacement	2026-09-17	rdi-mendelian-worksheet-reconciliation	0.95	maprule:PR-001 same real-world concept | maprule:EV-004 match after declared lexical transformation		Worksheet targets Q87.0. Label-identical. A recent ICD-10-CM addition outside the Q87.0 facial-appearance rubric the worksheet targets, so the worksheet query returns no Kabuki patients.	
