# comment: 'Exact matches only. Rows with object_id sssom:NoTermFound record a searched-and-not-found decision, not an absence of effort. semapv:CompositeMatching rows were adjudicated by an LLM over lexically retrieved candidates and carry the reason in `comment`; they are proposals for human review, not curated assertions. || REVIEW PROTOCOL. Reviewer: agent:claude-opus-5. Every row in this set was reviewed individually; no sampling. Each row carries reviewer_agreement (1.0 agree, 0.5 agree with reservations, 0.0 uncertain, -0.5 probably wrong, -1.0 definitely wrong) and curation_rule_text citing the rules the verdict rests on. Object identifiers were resolved against the target vocabulary rather than trusted from the input. CONFLATIONS PERMITTED: CM-005 (etiological vs phenomenological divergence) accepted only where cited per-row; no disease/phenotype conflation (CM-002) accepted; no CM-003, CM-006, CM-007 or CM-009 cases present. All 20 subjects are Mondo disease classes, so ST-006 holds throughout.. Curation rule registry: https://w3id.org/mondo/mapping-rules/ (core curation-rules.md plus the disease/phenotype pack rules-disease.md, family CM). NOTE: reviewer_agreement is a dev-spec SSSOM slot, absent from released sssom-schema 1.0.0; conformant parsers may drop the column. EVIDENCE CONSULTED: Mondo labels, exact synonyms, definitions, xrefs and hierarchical parents/children resolved live from EBI OLS4 (ontologies/mondo) on 2026-09-12; ICD-10-CM codes, current labels and full child lists resolved from the NLM Clinical Tables API (icd10cm/v3, FY2026 release); ICD-10 rubric inclusion notes read from the WHO ICD-10 2019 browser. Labels in the input file were NOT trusted and two were found stale (MONDO:0006835 is ''minimal change disease'', not ''lipoid nephrosis''; ICD10CM:D81.3 is now a category header, not the leaf ''Adenosine deaminase [ADA] deficiency''). SET-LEVEL DEFECTS: neither subject_source_version nor object_source_version is declared, so ST-003/ST-004 were checked against the current releases named above rather than a pinned version. ST-001 and ST-002 both clean: 20 distinct subjects, 20 distinct objects, no proxy or reverse proxy merges. NATURE OF THIS REVIEW: this is an AUTOMATED (AI) review by a language-model agent, NOT a human curator sign-off. It carries the same tier-3 status as the semapv:CompositeMatching rows it audits: EV-012 evidence, which does not by itself license a curated assertion. The 7 rows scored below 1.0 (one at -0.5, six at -1.0) REQUIRE HUMAN CONFIRMATION before the proposed predicate changes or rejections are acted on; they are flagged ''TBD:human-confirmation-required'' in issue_tracker_item. The 13 rows scored 1.0 are AI-endorsed proposals, not curated exact matches.'
# curie_map:
#   oio: http://www.geneontology.org/formats/oboInOwl#
#   ICD10CM: http://purl.bioontology.org/ontology/ICD10CM/
#   MONDO: http://purl.obolibrary.org/obo/MONDO_
#   infores: https://w3id.org/information-resource-registry/
#   owl: http://www.w3.org/2002/07/owl#
#   rdfs: http://www.w3.org/2000/01/rdf-schema#
#   semapv: https://w3id.org/semapv/vocab/
#   skos: http://www.w3.org/2004/02/skos/core#
#   sssom: https://w3id.org/sssom/
# license: https://creativecommons.org/publicdomain/zero/1.0/
# mapping_set_id: https://w3id.org/monarch-initiative/rare-disease-identification/mappings/mondo_icd10cm_exactmatch
# mapping_set_title: Prioritised rare disease list, MONDO to ICD-10-CM exact matches
# mapping_set_version: 2026-09-12
# object_source: infores:icd10cm
# subject_source: infores:mondo
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	mapping_tool	confidence	subject_preprocessing	match_string	object_match_field	subject_type	object_type	comment	reviewer_id	reviewer_agreement	curation_rule_text	issue_tracker_item
MONDO:0000044	hereditary hypophosphatemic rickets	skos:exactMatch	ICD10CM:E83.31	Familial hypophosphatemia	semapv:CompositeMatching	claude-opus-5	0.6000	agentic_review			owl class	owl class	E83.31 'Familial hypophosphatemia' is the ICD rubric for the hereditary hypophosphatemic (vitamin D-resistant) rickets group, so at this grouping level 'familial'/'hereditary' is naming style rather than a difference in extension. || REVIEW: not coextensive. ICD10CM:E83.31 'Familial hypophosphatemia' is a leaf (siblings E83.30 unspecified, E83.32 hereditary vitamin D-dependent rickets, E83.39 other) and ICD-10-CM carves autosomal recessive hypophosphatemic rickets type 2 (MONDO:0013219, a descendant of the subject) out to E83.822 'ENPP1 deficiency causing autosomal recessive hypophosphatemic rickets type 2', so E83.31 is narrower than the Mondo group, which also spans ADHR, ARHR1, HHRH and XLH; skos:narrowMatch is the right predicate, and the review also notes ICD individuates by phosphate-metabolism defect where Mondo individuates by the rickets presentation (CM-005).	agent:claude-opus-5	-0.5	maprule:EV-012 automated adjudication over retrieved candidates | maprule:SC-005 target finer than subject | maprule:PR-002 object is a subclass | maprule:CM-005 etiological vs phenomenological divergence	TBD:human-confirmation-required
MONDO:0000045	hypothyroidism, congenital, nongoitrous	skos:exactMatch	ICD10CM:E03.1	Congenital hypothyroidism without goiter	semapv:CompositeMatching	claude-opus-5	0.8500	agentic_review			owl class	owl class	E03.1 'Congenital hypothyroidism without goiter' denotes exactly congenital nongoitrous hypothyroidism; the wording differs only in word order. || REVIEW: confirmed. ICD10CM:E03.1 'Congenital hypothyroidism without goiter' is a current leaf whose siblings (E03.0 with diffuse goiter, E03.2-E03.5 acquired forms, E03.8 other specified, E03.9 unspecified) carve nothing out of it, so its extension is exactly congenital nongoitrous hypothyroidism, coextensive with the Mondo OMIMPS:275200 grouping; only word order differs and the adjudication's reasoning holds.	agent:claude-opus-5	1.0	maprule:EV-012 automated adjudication over retrieved candidates | maprule:EV-004 match after declared lexical transformation | maprule:PR-001 same real-world concept	
MONDO:0000188	GLUT1 deficiency syndrome	skos:exactMatch	ICD10CM:E74.810	Glucose transporter protein type 1 deficiency	semapv:CompositeMatching	claude-opus-5	0.9500	agentic_review			owl class	owl class	E74.810 'Glucose transporter protein type 1 deficiency' is the same disease as GLUT1 deficiency syndrome, differing only in expanded versus abbreviated naming. || REVIEW: confirmed. ICD10CM:E74.810 'Glucose transporter protein type 1 deficiency' is a current leaf whose siblings E74.818 'Other disorders of glucose transport' and E74.819 'unspecified' absorb everything else, so its extension is exactly GLUT1 deficiency syndrome (Mondo exact synonym 'GLUT1DS'); all members of the Mondo phenotypic series are SLC2A1, so no subtype escapes the code.	agent:claude-opus-5	1.0	maprule:EV-012 automated adjudication over retrieved candidates | maprule:EV-003 exact match on exact synonym | maprule:PR-001 same real-world concept	
MONDO:0000914	cerebral arteriopathy, autosomal dominant, with subcortical infarcts and leukoencephalopathy, type 1	skos:exactMatch	ICD10CM:I67.850	Cerebral autosomal dominant arteriopathy with subcortical infarcts and leukoencephalopathy	semapv:LexicalMatching	rdi-lexmatch	0.9800		CADASIL	oio:hasExactSynonym	owl class	owl class	Lexical tier raw_exact on the Mondo synonym. || REVIEW: reject. ICD10CM:I67.850 is the type-agnostic CADASIL rubric and also carries CADASIL type 2 (HTRA1, MONDO:0014768), whereas the subject is CADASIL type 1 (NOTCH3) only; the 'CADASIL' string the lexical matcher hit is an exact synonym of BOTH the subject and its Mondo parent MONDO:0007432, which is the type-agnostic class. skos:broadMatch is right here, or re-point the exactMatch at MONDO:0007432 after checking that Mondo class, which also subsumes the autosomal recessive CARASIL forms that ICD sends to I67.858.	agent:claude-opus-5	-1.0	maprule:SC-006 subtype under type-agnostic rubric | maprule:PR-003 object is a superclass | maprule:EV-006 lexical similarity only	TBD:human-confirmation-required
MONDO:0001586	mucopolysaccharidosis type 1	skos:exactMatch	ICD10CM:E76.0	Mucopolysaccharidosis, type I	semapv:CompositeMatching	claude-opus-5	0.9500	agentic_review			owl class	owl class	E76.0 'Mucopolysaccharidosis, type I' denotes the same disease as mucopolysaccharidosis type 1 (alpha-L-iduronidase deficiency); only Roman versus Arabic numbering differs. || REVIEW: confirmed, and the SC-001/SC-007 call goes the right way. ICD10CM:E76.0 'Mucopolysaccharidosis, type I' subdivides ONLY into E76.01 Hurler, E76.02 Hurler-Scheie and E76.03 Scheie, all of which are MPS I subtypes and all of which are Mondo subtypes of the subject; there is no residual child, so the extensions coincide (SC-007, not SC-001) and Roman-vs-Arabic numbering is the only difference.	agent:claude-opus-5	1.0	maprule:EV-012 automated adjudication over retrieved candidates | maprule:SC-007 rubric coextensive with subject | maprule:PR-001 same real-world concept	
MONDO:0001676	erythropoietic protoporphyria	skos:exactMatch	ICD10CM:E80.0	Hereditary erythropoietic porphyria	semapv:LexicalMatching	rdi-lexmatch	1.0000	base_normalization	erythropoietic protoporphyria	oio:hasExactSynonym	owl class	owl class	Lexical tier normalized on the Mondo label. || REVIEW: reject. ICD10CM:E80.0 'Hereditary erythropoietic porphyria' is a disjunctive rubric whose inclusion terms are BOTH 'Congenital erythropoietic porphyria' (Gunther disease, UROS) and 'Erythropoietic protoporphyria' (FECH) - two distinct diseases - so the code is broader than the subject by construction. The lexical hit is real (EPP is a genuine E80.0 inclusion term) but it is an inclusion under a two-disease rubric, which is exactly what EV-003 cannot distinguish; skos:broadMatch is the right predicate and no exact ICD-10-CM code for EPP exists.	agent:claude-opus-5	-1.0	maprule:SC-004 disjunctive rubric | maprule:PR-003 object is a superclass | maprule:EV-003 exact match on exact synonym	TBD:human-confirmation-required
MONDO:0001705	pure red-cell aplasia	skos:exactMatch	ICD10CM:D60	Acquired pure red cell aplasia [erythroblastopenia]	semapv:LexicalMatching	rdi-lexmatch	0.9310	base_normalization|comma_inversion	acquired pure red cell aplasia	rdfs:label	owl class	owl class	Lexical tier surgery on the Mondo synonym. || REVIEW: reject. ICD10CM:D60 is restricted to ACQUIRED pure red cell aplasia (rubric inclusion 'red cell aplasia (acquired)(adult)(with thymoma)'; children D60.0/D60.1/D60.8/D60.9 are all acquired), whereas the Mondo class subsumes Diamond-Blackfan anemia (MONDO:0015253), which ICD-10-CM codes at D61.01 'Constitutional (pure) red blood cell aplasia' outside D60 entirely. The match was manufactured by comma_inversion of the narrow Mondo synonym 'Pure Red Cell Aplasia, Acquired'; skos:narrowMatch is the right predicate.	agent:claude-opus-5	-1.0	maprule:SC-005 target finer than subject | maprule:PR-002 object is a subclass | maprule:EV-006 lexical similarity only	TBD:human-confirmation-required
MONDO:0001901	selective IgG subclass deficiency	skos:exactMatch	ICD10CM:D80.3	Selective deficiency of immunoglobulin G [IgG] subclasses	semapv:CompositeMatching	claude-opus-5	0.9000	agentic_review			owl class	owl class	D80.3 'Selective deficiency of immunoglobulin G [IgG] subclasses' denotes exactly selective IgG subclass deficiency. || REVIEW: confirmed. ICD10CM:D80.3 'Selective deficiency of immunoglobulin G [IgG] subclasses' is a current leaf with no subdivisions and no residual sibling covering part of it (D80.4 is the distinct selective IgM deficiency), so its extension is exactly selective IgG subclass deficiency; the difference is a bounded expansion of the IgG abbreviation.	agent:claude-opus-5	1.0	maprule:EV-012 automated adjudication over retrieved candidates | maprule:EV-004 match after declared lexical transformation | maprule:PR-001 same real-world concept	
MONDO:0003947	hyper-IgM syndrome	skos:exactMatch	ICD10CM:D80.5	Immunodeficiency with increased immunoglobulin M [IgM]	semapv:CompositeMatching	claude-opus-5	0.8500	agentic_review			owl class	owl class	D80.5 'Immunodeficiency with increased immunoglobulin M [IgM]' is the ICD rubric for hyper-IgM syndrome; the wording is descriptive rather than a different extension. || REVIEW: confirmed. ICD10CM:D80.5 'Immunodeficiency with increased immunoglobulin M [IgM]' is a current leaf with no subdivisions; its rubric is descriptive but its extension is the hyper-IgM immunodeficiency group, matching the subject. ICD files it under D80 'predominantly antibody defects' while Mondo models hyper-IgM via defective CD40 signalling, which would make several members combined immunodeficiencies - that is a hierarchy divergence only, and under EV-008 a failing hierarchical comparison is weak evidence against, not disproof.	agent:claude-opus-5	1.0	maprule:EV-012 automated adjudication over retrieved candidates | maprule:EV-009 definition comparison | maprule:EV-008 hierarchical corroboration | maprule:PR-001 same real-world concept	
MONDO:0004691	autosomal dominant polycystic kidney disease	skos:exactMatch	ICD10CM:Q61.2	Polycystic kidney, adult type	semapv:CompositeMatching	claude-opus-5	0.8000	agentic_review			owl class	owl class	Q61.2 'Polycystic kidney, adult type' is the ICD rubric whose inclusion is autosomal dominant polycystic kidney disease; 'adult type' is ICD house naming for the same entity. || REVIEW: confirmed, with the justification sharpened. The adjudication called 'adult type' ICD house naming; it is better than that - the WHO ICD-10 rubric for Q61.2 is literally 'Polycystic kidney, autosomal dominant' with 'Polycystic kidney, adult type' as its inclusion term, and ICD-10-CM merely retained the older display label. Q61.2 is a leaf; the infantile/recessive form sits at Q61.19 and Q61.3 takes the unspecified cases, so the extension is exactly ADPKD.	agent:claude-opus-5	1.0	maprule:EV-012 automated adjudication over retrieved candidates | maprule:EV-003 exact match on exact synonym | maprule:PR-001 same real-world concept	
