# mapping_set_id: https://w3id.org/monarch-initiative/rare-disease-identification/mappings/mondo_icd10cm_grouping_mendelian
# mapping_set_title: MONDO to ICD-10-CM broad and narrow matches recovered from Mendelian's first-pass worksheet
# mapping_set_version: '2026-09-17'
# mapping_set_description: 'Non-exact ICD-10-CM mappings for rare diseases the classification does not name. Each broadMatch subject was searched in ICD-10-CM under its Mondo label and every exact synonym with no result, so no exact mapping is available and the grouping rubric is the only truthful target. The narrowMatch rows are the converse case: ICD-10-CM subdivides the disease without offering a code for the whole. This set exists because Mondo carries 79 broadMatch mappings to ICD-10-CM against 2,038 exactMatch, which leaves every disease in this file invisible to any value set derived from Mondo. The non-standard `grouping_basis` column records why each broad mapping is defensible: `subsumption` where the ICD rubric is a genuine superclass, `icd_index` where ICD''s own inclusion terms assign the disease to the code, and `residual_bucket` where the rubric is an ''other specified'' wastebasket and the row records where a coder puts the patient rather than what the code means. Only the first two are class relationships; the four `residual_bucket` rows are ascertainment heuristics and a curator may reasonably decline them. These mappings are deliberately lossy and must stay separable from exact ones: pulling a patient cohort on one of these codes pulls a population far larger than the disease.'
# comment: 'Derived from ''Mendelian''s First Pass ICD-10 Priorities - Mar 2026'' (XLSX), a hand-built worksheet of 75 ICD-10-CM codes selected as EHR ascertainment handles, each annotated with the Mondo disease it stands for and marked ''Specific disease'' or ''Cluster''. The worksheet does not pin a Mondo version. Reconciliation against Mondo releases/2026-09-01 and ICD-10-CM FY2026, and the per-row comments, are ours. Patient counts quoted in comments are the worksheet''s own, from UNC Health via TriNetX, rounded to the nearest 10: single-site, and a signal rather than a prevalence estimate. NATURE OF THIS SET: proposals for curator review, not curated assertions. See background/mendelian-icd10-first-pass-interpretation.md and background/mendelian-xlsx-gap-analysis.html in monarch-initiative/rare-disease-identification.'
# license: https://creativecommons.org/publicdomain/zero/1.0/
# mapping_provider: https://github.com/monarch-initiative/rare-disease-identification
# mapping_tool: rdi-mendelian-worksheet-reconciliation
# mapping_date: '2026-09-17'
# subject_source: infores:mondo
# subject_source_version: releases/2026-09-01
# object_source: infores:icd10cm
# object_source_version: FY2026
# subject_type: owl class
# object_type: owl class
# curie_map:
#   ICD10CM: http://purl.bioontology.org/ontology/ICD10CM/
#   MONDO: http://purl.obolibrary.org/obo/MONDO_
#   biolink: https://w3id.org/biolink/vocab/
#   infores: https://w3id.org/information-resource-registry/
#   maprule: https://w3id.org/mondo/mapping-rules/
#   oboInOwl: http://www.geneontology.org/formats/oboInOwl#
#   owl: http://www.w3.org/2002/07/owl#
#   rdfs: http://www.w3.org/2000/01/rdf-schema#
#   semapv: https://w3id.org/semapv/vocab/
#   skos: http://www.w3.org/2004/02/skos/core#
#   sssom: https://w3id.org/sssom/
subject_id	subject_label	subject_category	predicate_id	object_id	object_label	object_category	mapping_justification	subject_type	object_type	subject_match_field	object_match_field	match_string	subject_preprocessing	mapping_date	mapping_tool	confidence	curation_rule_text	grouping_basis	comment	issue_tracker_item
MONDO:0007534	Beckwith-Wiedemann syndrome	biolink:Disease	skos:broadMatch	ICD10CM:Q87.3	Congenital malformation syndromes involving early overgrowth	biolink:Disease	semapv:ManualMappingCuration	owl class	owl class					2026-09-17	rdi-mendelian-worksheet-reconciliation	0.9	maprule:SC-004 target coarser than subject | maprule:PR-003 object is a superclass	subsumption	ICD-10-CM has no code for this disease; searching it for the Mondo label and every exact synonym returns nothing. Beckwith-Wiedemann is an overgrowth syndrome, so the rubric is a true superclass. The worksheet counts 1,150 patients on the code it targets at one US site, so this is a retrieval net and not a case definition.	
MONDO:0019349	Sotos syndrome	biolink:Disease	skos:broadMatch	ICD10CM:Q87.3	Congenital malformation syndromes involving early overgrowth	biolink:Disease	semapv:ManualMappingCuration	owl class	owl class					2026-09-17	rdi-mendelian-worksheet-reconciliation	0.9	maprule:SC-004 target coarser than subject | maprule:PR-003 object is a superclass	subsumption	ICD-10-CM has no code for this disease; searching it for the Mondo label and every exact synonym returns nothing. Sotos is an overgrowth syndrome, so the rubric is a true superclass. Note that Q87.3 carries Beckwith-Wiedemann too, so the code cannot distinguish them. The worksheet counts 1,150 patients on the code it targets at one US site, so this is a retrieval net and not a case definition.	
MONDO:0018997	Noonan syndrome	biolink:Disease	skos:broadMatch	ICD10CM:Q87.19	Other congenital malformation syndromes predominantly associated with short stature	biolink:Disease	semapv:ManualMappingCuration	owl class	owl class					2026-09-17	rdi-mendelian-worksheet-reconciliation	0.9	maprule:SC-004 target coarser than subject | maprule:PR-003 object is a superclass	subsumption	ICD-10-CM has no code for this disease; searching it for the Mondo label and every exact synonym returns nothing. Subsumption runs through the Q87.1 category, which is a true superclass; Q87.19 is the assignable residual child once Prader-Willi (Q87.11) is carved out. The worksheet targets Q87.1, which ICD-10-CM subdivides and which is therefore not assignable. The worksheet counts 890 patients on the code it targets at one US site, so this is a retrieval net and not a case definition.	
MONDO:0016033	Cornelia de Lange syndrome	biolink:Disease	skos:broadMatch	ICD10CM:Q87.19	Other congenital malformation syndromes predominantly associated with short stature	biolink:Disease	semapv:ManualMappingCuration	owl class	owl class					2026-09-17	rdi-mendelian-worksheet-reconciliation	0.9	maprule:SC-004 target coarser than subject | maprule:PR-003 object is a superclass	subsumption	ICD-10-CM has no code for this disease; searching it for the Mondo label and every exact synonym returns nothing. Subsumption runs through the Q87.1 category, which is a true superclass; Q87.19 is the assignable residual child. The worksheet targets Q87.1, which is not assignable. The worksheet counts 890 patients on the code it targets at one US site, so this is a retrieval net and not a case definition.	
MONDO:0016006	Cockayne syndrome	biolink:Disease	skos:broadMatch	ICD10CM:Q87.19	Other congenital malformation syndromes predominantly associated with short stature	biolink:Disease	semapv:ManualMappingCuration	owl class	owl class					2026-09-17	rdi-mendelian-worksheet-reconciliation	0.9	maprule:SC-004 target coarser than subject | maprule:PR-003 object is a superclass	subsumption	ICD-10-CM has no code for this disease; searching it for the Mondo label and every exact synonym returns nothing. Subsumption runs through the Q87.1 category, which is a true superclass; Q87.19 is the assignable residual child. The worksheet targets Q87.1, which is not assignable. The worksheet counts 890 patients on the code it targets at one US site, so this is a retrieval net and not a case definition.	
MONDO:0019354	Stickler syndrome	biolink:Disease	skos:broadMatch	ICD10CM:Q87.0	Congenital malformation syndromes predominantly affecting facial appearance	biolink:Disease	semapv:ManualMappingCuration	owl class	owl class					2026-09-17	rdi-mendelian-worksheet-reconciliation	0.9	maprule:SC-004 target coarser than subject | maprule:PR-003 object is a superclass	subsumption	ICD-10-CM has no code for this disease; searching it for the Mondo label and every exact synonym returns nothing. Midface hypoplasia and the flat facial profile are cardinal features, so the rubric subsumes the disease, though it also subsumes Kabuki and Mobius and cannot distinguish them. The worksheet counts 670 patients on the code it targets at one US site, so this is a retrieval net and not a case definition.	
MONDO:0008006	Moebius syndrome	biolink:Disease	skos:broadMatch	ICD10CM:Q87.0	Congenital malformation syndromes predominantly affecting facial appearance	biolink:Disease	semapv:ManualMappingCuration	owl class	owl class					2026-09-17	rdi-mendelian-worksheet-reconciliation	0.9	maprule:SC-004 target coarser than subject | maprule:PR-003 object is a superclass	subsumption	ICD-10-CM has no code for this disease; searching it for the Mondo label and every exact synonym returns nothing. Congenital facial diplegia is the defining feature, so the rubric subsumes the disease. The worksheet counts 670 patients on the code it targets at one US site, so this is a retrieval net and not a case definition.	
MONDO:0008501	Sturge-Weber syndrome	biolink:Disease	skos:broadMatch	ICD10CM:Q85.89	Other phakomatoses, not elsewhere classified	biolink:Disease	semapv:ManualMappingCuration	owl class	owl class					2026-09-17	rdi-mendelian-worksheet-reconciliation	0.9	maprule:SC-004 target coarser than subject | maprule:PR-003 object is a superclass	icd_index	ICD-10-CM has no code for this disease; searching it for the Mondo label and every exact synonym returns nothing. ICD-10 lists Sturge-Weber(-Dimitri) syndrome as an inclusion term under Q85.8, so the classification itself assigns it here; Q85.89 is the assignable residual child once PTEN (Q85.81), Cowden (Q85.82) and von Hippel-Lindau (Q85.83) are carved out. The worksheet targets Q85.8, which ICD-10-CM subdivides and which is therefore not assignable. Inclusion terms are not exposed by the NLM API and were read from the tabular list; worth one manual check. The worksheet counts 560 patients on the code it targets at one US site, so this is a retrieval net and not a case definition.	
MONDO:0008280	Peutz-Jeghers syndrome	biolink:Disease	skos:broadMatch	ICD10CM:Q85.89	Other phakomatoses, not elsewhere classified	biolink:Disease	semapv:ManualMappingCuration	owl class	owl class					2026-09-17	rdi-mendelian-worksheet-reconciliation	0.9	maprule:SC-004 target coarser than subject | maprule:PR-003 object is a superclass	icd_index	ICD-10-CM has no code for this disease; searching it for the Mondo label and every exact synonym returns nothing. ICD-10 lists Peutz-Jeghers syndrome as an inclusion term under Q85.8, so the classification itself assigns it here; Q85.89 is the assignable residual child. The worksheet targets Q85.8, which is not assignable. Inclusion terms are not exposed by the NLM API and were read from the tabular list; worth one manual check. The worksheet counts 560 patients on the code it targets at one US site, so this is a retrieval net and not a case definition.	
MONDO:0019188	Rubinstein-Taybi syndrome	biolink:Disease	skos:broadMatch	ICD10CM:Q87.2	Congenital malformation syndromes predominantly involving limbs	biolink:Disease	semapv:ManualMappingCuration	owl class	owl class					2026-09-17	rdi-mendelian-worksheet-reconciliation	0.9	maprule:SC-004 target coarser than subject | maprule:PR-003 object is a superclass	subsumption	ICD-10-CM has no code for this disease; searching it for the Mondo label and every exact synonym returns nothing. Broad thumbs and halluces are cardinal features, so the rubric subsumes the disease. The worksheet counts 1,290 patients on the code it targets at one US site, so this is a retrieval net and not a case definition.	
MONDO:0007838	Jacobsen syndrome	biolink:Disease	skos:broadMatch	ICD10CM:Q93.59	Other deletions of part of a chromosome	biolink:Disease	semapv:ManualMappingCuration	owl class	owl class					2026-09-17	rdi-mendelian-worksheet-reconciliation	0.9	maprule:SC-004 target coarser than subject | maprule:PR-003 object is a superclass	residual_bucket	ICD-10-CM has no code for this disease; searching it for the Mondo label and every exact synonym returns nothing. Jacobsen is a terminal 11q deletion, which ICD-10-CM does not name. Q93.59 is the assignable residual leaf; Q93.88 'Other microdeletions' is the plausible alternative and a coder should settle which. The worksheet targets the Q93 category, which ICD-10-CM subdivides and which is therefore not assignable. The worksheet counts 2,500 patients on the code it targets at one US site, so this is a retrieval net and not a case definition.	
MONDO:0007875	Larsen syndrome	biolink:Disease	skos:broadMatch	ICD10CM:Q74.8	Other specified congenital malformations of limb(s)	biolink:Disease	semapv:ManualMappingCuration	owl class	owl class					2026-09-17	rdi-mendelian-worksheet-reconciliation	0.9	maprule:SC-004 target coarser than subject | maprule:PR-003 object is a superclass	residual_bucket	ICD-10-CM has no code for this disease; searching it for the Mondo label and every exact synonym returns nothing. A wastebasket rubric. Larsen is a multiple-dislocation syndrome rather than a limb malformation per se, so this records where a coder puts the patient, not what the code means. The worksheet counts 140 patients on the code it targets at one US site, so this is a retrieval net and not a case definition.	
MONDO:0010568	Aicardi syndrome	biolink:Disease	skos:broadMatch	ICD10CM:Q04.0	Congenital malformations of corpus callosum	biolink:Disease	semapv:ManualMappingCuration	owl class	owl class					2026-09-17	rdi-mendelian-worksheet-reconciliation	0.9	maprule:SC-004 target coarser than subject | maprule:PR-003 object is a superclass	subsumption	ICD-10-CM has no code for this disease; searching it for the Mondo label and every exact synonym returns nothing. Agenesis of the corpus callosum is a defining feature of Aicardi syndrome, so the rubric is a true superclass. Beware the near-neighbour E79.81 Aicardi-Goutieres syndrome, which is a different disease. The worksheet counts 770 patients on the code it targets at one US site, so this is a retrieval net and not a case definition.	
MONDO:0016575	primary ciliary dyskinesia	biolink:Disease	skos:broadMatch	ICD10CM:Q34.8	Other specified congenital malformations of respiratory system	biolink:Disease	semapv:ManualMappingCuration	owl class	owl class					2026-09-17	rdi-mendelian-worksheet-reconciliation	0.9	maprule:SC-004 target coarser than subject | maprule:PR-003 object is a superclass	residual_bucket	ICD-10-CM has no code for this disease; searching it for the Mondo label and every exact synonym returns nothing. A wastebasket rubric. PCD is a ciliary motility defect rather than a structural malformation of the airway, so this records where a coder puts the patient, not what the code means. Kartagener syndrome, the situs inversus subset, is coded separately at Q89.3. The worksheet counts 670 patients on the code it targets at one US site, so this is a retrieval net and not a case definition.	
MONDO:0018919	McCune-Albright syndrome	biolink:Disease	skos:broadMatch	ICD10CM:Q78.1	Polyostotic fibrous dysplasia	biolink:Disease	semapv:ManualMappingCuration	owl class	owl class					2026-09-17	rdi-mendelian-worksheet-reconciliation	0.9	maprule:SC-004 target coarser than subject | maprule:PR-003 object is a superclass	subsumption	ICD-10-CM has no code for this disease; searching it for the Mondo label and every exact synonym returns nothing. Polyostotic fibrous dysplasia is present in McCune-Albright by definition, so the rubric is a true superclass; it also covers isolated polyostotic fibrous dysplasia without the endocrine features. The worksheet counts 90 patients on the code it targets at one US site, so this is a retrieval net and not a case definition.	
