# curie_map:
#   ICD10CM: http://purl.bioontology.org/ontology/ICD10CM/
#   MONDO: http://purl.obolibrary.org/obo/MONDO_
#   infores: https://w3id.org/information-resource-registry/
#   owl: http://www.w3.org/2002/07/owl#
#   rdfs: http://www.w3.org/2000/01/rdf-schema#
#   semapv: https://w3id.org/semapv/vocab/
#   skos: http://www.w3.org/2004/02/skos/core#
#   sssom: https://w3id.org/sssom/
# license: https://creativecommons.org/publicdomain/zero/1.0/
# mapping_set_id: https://w3id.org/monarch-initiative/rare-disease-identification/mappings/mondo_icd10cm_exactmatch
# mapping_set_version: 2026-09-12
# mapping_set_title: Prioritised rare disease list, MONDO to ICD-10-CM exact matches
# subject_source: infores:mondo
# object_source: infores:icd10cm
# comment: Exact matches only. Rows with object_id sssom:NoTermFound record a searched-and-not-found decision, not an absence of effort. semapv:CompositeMatching rows were adjudicated by an LLM over lexically retrieved candidates and carry the reason in `comment`; they are proposals for human review, not curated assertions.
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	mapping_tool	confidence	subject_preprocessing	match_string	object_match_field	subject_type	object_type	comment
MONDO:0000004	adrenocortical insufficiency	skos:exactMatch	sssom:NoTermFound		semapv:CompositeMatching	claude-opus-5	0.0				owl class	owl class	The closest candidate E27.1 'Primary adrenocortical insufficiency' is restricted to primary (adrenal-level) disease, whereas the Mondo term covers primary, secondary and tertiary adrenocortical insufficiency alike.
MONDO:0000015	classic complement early component deficiency	skos:exactMatch	sssom:NoTermFound		semapv:CompositeMatching	claude-opus-5	0.0				owl class	owl class	D84.1 'Defects in the complement system' is a broad grouping covering all complement defects (late components, regulators, inhibitors), not specifically deficiency of the early classical-pathway components.
MONDO:0000023	infantile liver failure	skos:exactMatch	sssom:NoTermFound		semapv:CompositeMatching	claude-opus-5	0.0				owl class	owl class	The closest candidate K72 'Hepatic failure, not elsewhere classified' is an age-agnostic residual rubric for hepatic failure and does not denote the infantile liver failure syndromes.
MONDO:0000044	hereditary hypophosphatemic rickets	skos:exactMatch	ICD10CM:E83.31	Familial hypophosphatemia	semapv:CompositeMatching	claude-opus-5	0.6000	agentic_review			owl class	owl class	E83.31 'Familial hypophosphatemia' is the ICD rubric for the hereditary hypophosphatemic (vitamin D-resistant) rickets group, so at this grouping level 'familial'/'hereditary' is naming style rather than a difference in extension.
MONDO:0000045	hypothyroidism, congenital, nongoitrous	skos:exactMatch	ICD10CM:E03.1	Congenital hypothyroidism without goiter	semapv:CompositeMatching	claude-opus-5	0.8500	agentic_review			owl class	owl class	E03.1 'Congenital hypothyroidism without goiter' denotes exactly congenital nongoitrous hypothyroidism; the wording differs only in word order.
MONDO:0000050	isolated congenital growth hormone deficiency	skos:exactMatch	sssom:NoTermFound		semapv:CompositeMatching	claude-opus-5	0.0				owl class	owl class	The closest candidate E23.0 'Hypopituitarism' is far broader, covering panhypopituitarism and other pituitary hormone deficiencies rather than isolated congenital growth hormone deficiency.
MONDO:0000070	Mycobacterium tuberculosis, susceptibility	skos:exactMatch	sssom:NoTermFound		semapv:CompositeMatching	claude-opus-5	0.0				owl class	owl class	Z15 'Genetic susceptibility to disease' is a generic susceptibility rubric with no tuberculosis-specific child offered, and the A15-A19 tuberculosis block denotes active disease rather than susceptibility to it.
MONDO:0000129	glutaric aciduria	skos:exactMatch	sssom:NoTermFound		semapv:CompositeMatching	claude-opus-5	0.0				owl class	owl class	The closest candidate E71.313 'Glutaric aciduria type II' is one subtype, while the Mondo term is the parent group covering glutaric aciduria types I, II and III.
MONDO:0000159	bone marrow failure syndrome	skos:exactMatch	sssom:NoTermFound		semapv:CompositeMatching	claude-opus-5	0.0				owl class	owl class	The closest candidate D61 'Other aplastic anemias and other bone marrow failure syndromes' is a residual 'other' rubric bundling aplastic anemias with bone marrow failure syndromes, so it is broader than the disease group named.
MONDO:0000171	muscular dystrophy-dystroglycanopathy, type A	skos:exactMatch	sssom:NoTermFound		semapv:CompositeMatching	claude-opus-5	0.0				owl class	owl class	No candidate concerns muscular dystrophy at all; the closest, Q35.1 'Cleft hard palate', matches only the token 'hard' from the synonym 'hard syndrome' and is pure retrieval noise.
