# curie_map:
#   ICD10CM: http://purl.bioontology.org/ontology/ICD10CM/
#   MONDO: http://purl.obolibrary.org/obo/MONDO_
#   infores: https://w3id.org/information-resource-registry/
#   owl: http://www.w3.org/2002/07/owl#
#   rdfs: http://www.w3.org/2000/01/rdf-schema#
#   semapv: https://w3id.org/semapv/vocab/
#   skos: http://www.w3.org/2004/02/skos/core#
#   sssom: https://w3id.org/sssom/
# license: https://creativecommons.org/publicdomain/zero/1.0/
# mapping_set_id: https://w3id.org/monarch-initiative/rare-disease-identification/mappings/mondo_icd10cm_exactmatch
# mapping_set_version: 2026-09-12
# mapping_set_title: Prioritised rare disease list, MONDO to ICD-10-CM exact matches
# subject_source: infores:mondo
# object_source: infores:icd10cm
# comment: Exact matches only. Rows with object_id sssom:NoTermFound record a searched-and-not-found decision, not an absence of effort. semapv:CompositeMatching rows were adjudicated by an LLM over lexically retrieved candidates and carry the reason in `comment`; they are proposals for human review, not curated assertions.
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	mapping_tool	confidence	subject_preprocessing	match_string	object_match_field	subject_type	object_type	comment
MONDO:0000044	hereditary hypophosphatemic rickets	skos:exactMatch	ICD10CM:E83.31	Familial hypophosphatemia	semapv:CompositeMatching	claude-opus-5	0.6000	agentic_review			owl class	owl class	E83.31 'Familial hypophosphatemia' is the ICD rubric for the hereditary hypophosphatemic (vitamin D-resistant) rickets group, so at this grouping level 'familial'/'hereditary' is naming style rather than a difference in extension.
MONDO:0000045	hypothyroidism, congenital, nongoitrous	skos:exactMatch	ICD10CM:E03.1	Congenital hypothyroidism without goiter	semapv:CompositeMatching	claude-opus-5	0.8500	agentic_review			owl class	owl class	E03.1 'Congenital hypothyroidism without goiter' denotes exactly congenital nongoitrous hypothyroidism; the wording differs only in word order.
MONDO:0000188	GLUT1 deficiency syndrome	skos:exactMatch	ICD10CM:E74.810	Glucose transporter protein type 1 deficiency	semapv:CompositeMatching	claude-opus-5	0.9500	agentic_review			owl class	owl class	E74.810 'Glucose transporter protein type 1 deficiency' is the same disease as GLUT1 deficiency syndrome, differing only in expanded versus abbreviated naming.
MONDO:0000914	cerebral arteriopathy, autosomal dominant, with subcortical infarcts and leukoencephalopathy, type 1	skos:exactMatch	ICD10CM:I67.850	Cerebral autosomal dominant arteriopathy with subcortical infarcts and leukoencephalopathy	semapv:LexicalMatching	rdi-lexmatch	0.9800		CADASIL	oio:hasExactSynonym	owl class	owl class	Lexical tier raw_exact on the Mondo synonym.
MONDO:0001586	mucopolysaccharidosis type 1	skos:exactMatch	ICD10CM:E76.0	Mucopolysaccharidosis, type I	semapv:CompositeMatching	claude-opus-5	0.9500	agentic_review			owl class	owl class	E76.0 'Mucopolysaccharidosis, type I' denotes the same disease as mucopolysaccharidosis type 1 (alpha-L-iduronidase deficiency); only Roman versus Arabic numbering differs.
MONDO:0001676	erythropoietic protoporphyria	skos:exactMatch	ICD10CM:E80.0	Hereditary erythropoietic porphyria	semapv:LexicalMatching	rdi-lexmatch	1.0000	base_normalization	erythropoietic protoporphyria	oio:hasExactSynonym	owl class	owl class	Lexical tier normalized on the Mondo label.
MONDO:0001705	pure red-cell aplasia	skos:exactMatch	ICD10CM:D60	Acquired pure red cell aplasia [erythroblastopenia]	semapv:LexicalMatching	rdi-lexmatch	0.9310	base_normalization|comma_inversion	acquired pure red cell aplasia	rdfs:label	owl class	owl class	Lexical tier surgery on the Mondo synonym.
MONDO:0001901	selective IgG subclass deficiency	skos:exactMatch	ICD10CM:D80.3	Selective deficiency of immunoglobulin G [IgG] subclasses	semapv:CompositeMatching	claude-opus-5	0.9000	agentic_review			owl class	owl class	D80.3 'Selective deficiency of immunoglobulin G [IgG] subclasses' denotes exactly selective IgG subclass deficiency.
MONDO:0003947	hyper-IgM syndrome	skos:exactMatch	ICD10CM:D80.5	Immunodeficiency with increased immunoglobulin M [IgM]	semapv:CompositeMatching	claude-opus-5	0.8500	agentic_review			owl class	owl class	D80.5 'Immunodeficiency with increased immunoglobulin M [IgM]' is the ICD rubric for hyper-IgM syndrome; the wording is descriptive rather than a different extension.
MONDO:0004691	autosomal dominant polycystic kidney disease	skos:exactMatch	ICD10CM:Q61.2	Polycystic kidney, adult type	semapv:CompositeMatching	claude-opus-5	0.8000	agentic_review			owl class	owl class	Q61.2 'Polycystic kidney, adult type' is the ICD rubric whose inclusion is autosomal dominant polycystic kidney disease; 'adult type' is ICD house naming for the same entity.
MONDO:0005045	hypertrophic cardiomyopathy	skos:exactMatch	ICD10CM:I42.1	Obstructive hypertrophic cardiomyopathy	semapv:LexicalMatching	rdi-lexmatch	0.9800	base_normalization	obstructive hypertrophic cardiomyopathy	rdfs:label	owl class	owl class	Lexical tier normalized on the Mondo synonym.
MONDO:0005357	Creutzfeldt Jacob disease	skos:exactMatch	ICD10CM:A81.0	Creutzfeldt-Jakob disease	semapv:CompositeMatching	claude-opus-5	0.8500	agentic_review			owl class	owl class	The residual sibling A81.09 is rejected, but the non-residual parent rubric A81.0 'Creutzfeldt-Jakob disease' is offered in the same list and its extension is exactly the CJD concept, subdivided only into unspecified (A81.00), variant (A81.01) and other (A81.09) forms; that is the same extension as the Mondo parent term for CJD, so the parent rubric, not the residual one, is the exact match.
MONDO:0005508	hereditary multiple osteochondromas	skos:exactMatch	ICD10CM:Q78.6	Multiple congenital exostoses	semapv:CompositeMatching	claude-opus-5	0.8000	agentic_review			owl class	owl class	Q78.6 'Multiple congenital exostoses' is the ICD rubric for hereditary multiple osteochondromas (multiple cartilaginous exostoses), the same disease under descriptive naming.
MONDO:0006292	malignant mesothelioma	skos:exactMatch	ICD10CM:C45	Mesothelioma	semapv:CompositeMatching	claude-opus-5	0.7000	agentic_review			owl class	owl class	C45 'Mesothelioma' is the ICD-10-CM rubric for malignant mesothelioma at every site (benign mesothelial tumours sit separately under D19), so the rubric denotes the same disease.
MONDO:0006835	lipoid nephrosis	skos:exactMatch	ICD10CM:N04	Nephrotic syndrome	semapv:LexicalMatching	rdi-lexmatch	1.0000		lipoid nephrosis	oio:hasExactSynonym	owl class	owl class	Lexical tier raw_exact on the Mondo label.
MONDO:0007064	severe combined immunodeficiency, autosomal recessive, T cell-negative, B cell-negative, NK cell-negative, due to adenosine deaminase deficiency	skos:exactMatch	ICD10CM:D81.3	Adenosine deaminase [ADA] deficiency	semapv:LexicalMatching	rdi-lexmatch	0.9800	base_normalization	adenosine deaminase deficiency	rdfs:label	owl class	owl class	Lexical tier normalized on the Mondo synonym.
MONDO:0007191	Behcet disease	skos:exactMatch	ICD10CM:M35.2	Behçet's disease	semapv:LexicalMatching	rdi-lexmatch	0.9700	base_normalization|add_possessive	behcet's disease	rdfs:label	owl class	owl class	Lexical tier surgery on the Mondo label.
MONDO:0007318	Alagille syndrome	skos:exactMatch	ICD10CM:Q44.71	Alagille syndrome	semapv:LexicalMatching	rdi-lexmatch	1.0000		Alagille syndrome	rdfs:label	owl class	owl class	Lexical tier raw_exact on the Mondo label.
MONDO:0007404	Cri-du-chat syndrome	skos:exactMatch	ICD10CM:Q93.4	Deletion of short arm of chromosome 5	semapv:LexicalMatching	rdi-lexmatch	1.0000		Cri-du-chat syndrome	oio:hasExactSynonym	owl class	owl class	Lexical tier raw_exact on the Mondo label.
MONDO:0007405	Crouzon syndrome	skos:exactMatch	ICD10CM:Q75.1	Craniofacial dysostosis	semapv:LexicalMatching	rdi-lexmatch	0.9800	base_normalization	craniofacial dysostosis	rdfs:label	owl class	owl class	Lexical tier normalized on the Mondo synonym.
MONDO:0007432	cerebral arteriopathy with subcortical infarcts and leukoencephalopathy	skos:exactMatch	ICD10CM:I67.850	Cerebral autosomal dominant arteriopathy with subcortical infarcts and leukoencephalopathy	semapv:LexicalMatching	rdi-lexmatch	0.9800		CADASIL	oio:hasExactSynonym	owl class	owl class	Lexical tier raw_exact on the Mondo synonym.
MONDO:0007492	early-onset generalized limb-onset dystonia	skos:exactMatch	ICD10CM:G24.1	Genetic torsion dystonia	semapv:LexicalMatching	rdi-lexmatch	0.9800	base_normalization	dystonia musculorum deformans	oio:hasExactSynonym	owl class	owl class	Lexical tier normalized on the Mondo synonym.
MONDO:0007522	Ehlers-Danlos syndrome, classic type	skos:exactMatch	ICD10CM:Q79.61	Classical Ehlers-Danlos syndrome	semapv:CompositeMatching	claude-opus-5	0.9500	agentic_review			owl class	owl class	Q79.61 'Classical Ehlers-Danlos syndrome' denotes the same entity as Ehlers-Danlos syndrome classic type; 'classical' versus 'classic' is spelling style.
MONDO:0007524	autosomal dominant Ehlers-Danlos syndrome, vascular type	skos:exactMatch	ICD10CM:Q79.63	Vascular Ehlers-Danlos syndrome	semapv:CompositeMatching	claude-opus-5	0.8500	agentic_review			owl class	owl class	Q79.63 'Vascular Ehlers-Danlos syndrome' denotes the same disease, since vascular EDS is autosomal dominant by definition and the Mondo label merely states that inheritance explicitly.
MONDO:0007534	Beckwith-Wiedemann syndrome	skos:exactMatch	ICD10CM:Q87.3	Congenital malformation syndromes involving early overgrowth	semapv:LexicalMatching	rdi-lexmatch	1.0000		Beckwith-Wiedemann syndrome	oio:hasExactSynonym	owl class	owl class	Lexical tier raw_exact on the Mondo label.
MONDO:0007608	desmoid tumor	skos:exactMatch	ICD10CM:D48.11	Desmoid tumor	semapv:LexicalMatching	rdi-lexmatch	1.0000	base_normalization	desmoid tumor	rdfs:label	owl class	owl class	Lexical tier normalized on the Mondo label.
MONDO:0007750	hypercholesterolemia, familial, 1	skos:exactMatch	ICD10CM:E78.01	Familial hypercholesterolemia	semapv:LexicalMatching	rdi-lexmatch	0.9310	base_normalization|comma_inversion	familial hypercholesterolemia	rdfs:label	owl class	owl class	Lexical tier surgery on the Mondo synonym.
MONDO:0007793	hypochondroplasia	skos:exactMatch	ICD10CM:Q77.4	Achondroplasia	semapv:LexicalMatching	rdi-lexmatch	1.0000	base_normalization	hypochondroplasia	oio:hasExactSynonym	owl class	owl class	Lexical tier normalized on the Mondo label.
MONDO:0007864	angioosteohypertrophic syndrome	skos:exactMatch	ICD10CM:Q87.2	Congenital malformation syndromes predominantly involving limbs	semapv:LexicalMatching	rdi-lexmatch	0.9800		Klippel-Trenaunay-Weber syndrome	oio:hasExactSynonym	owl class	owl class	Lexical tier raw_exact on the Mondo synonym.
MONDO:0007972	Meniere disease	skos:exactMatch	ICD10CM:H81.0	Ménière's disease	semapv:LexicalMatching	rdi-lexmatch	0.9700	base_normalization|add_possessive	meniere's disease	rdfs:label	owl class	owl class	Lexical tier surgery on the Mondo label.
MONDO:0008056	myotonic dystrophy type 1	skos:exactMatch	ICD10CM:G71.11	Myotonic muscular dystrophy	semapv:LexicalMatching	rdi-lexmatch	0.9800		Steinert disease	oio:hasExactSynonym	owl class	owl class	Lexical tier raw_exact on the Mondo synonym.
MONDO:0008061	nail-patella syndrome	skos:exactMatch	ICD10CM:Q87.2	Congenital malformation syndromes predominantly involving limbs	semapv:LexicalMatching	rdi-lexmatch	0.9800	base_normalization	nail patella syndrome	oio:hasExactSynonym	owl class	owl class	Lexical tier normalized on the Mondo synonym.
MONDO:0008082	multiple endocrine neoplasia type 2B	skos:exactMatch	ICD10CM:E31.23	Multiple endocrine neoplasia [MEN] type IIB	semapv:LexicalMatching	rdi-lexmatch	0.9800	base_normalization	multiple endocrine neoplasia type iib	rdfs:label	owl class	owl class	Lexical tier normalized on the Mondo synonym.
MONDO:0008215	adult-onset autosomal dominant demyelinating leukodystrophy	skos:exactMatch	ICD10CM:G90.B	LMNB1-related autosomal dominant leukodystrophy	semapv:CompositeMatching	claude-opus-5	0.8500	agentic_review			owl class	owl class	G90.B 'LMNB1-related autosomal dominant leukodystrophy' is the ICD-10-CM code created for exactly this entity, adult-onset autosomal dominant demyelinating leukodystrophy (ADLD).
MONDO:0008234	multiple endocrine neoplasia type 2A	skos:exactMatch	ICD10CM:E31.22	Multiple endocrine neoplasia [MEN] type IIA	semapv:LexicalMatching	rdi-lexmatch	0.9506	base_normalization|add_possessive	sipple's syndrome	oio:hasExactSynonym	owl class	owl class	Lexical tier surgery on the Mondo synonym.
MONDO:0008294	acute intermittent porphyria	skos:exactMatch	ICD10CM:E80.21	Acute intermittent (hepatic) porphyria	semapv:CompositeMatching	claude-opus-5	0.9500	agentic_review			owl class	owl class	E80.21 'Acute intermittent (hepatic) porphyria' is the rubric for exactly this disease, the parenthetical 'hepatic' being descriptive rather than a restriction.
MONDO:0008560	thrombophilia due to activated protein C resistance	skos:exactMatch	ICD10CM:D68.51	Activated protein C resistance	semapv:CompositeMatching	claude-opus-5	0.7000	agentic_review			owl class	owl class	ICD-10-CM D68.51 'Activated protein C resistance' sits under primary thrombophilia and denotes exactly the APC-resistance (factor V Leiden) thrombophilia named by the Mondo term; the alternative D68.59 is an 'other' residual.
MONDO:0008633	Muckle-Wells syndrome	skos:exactMatch	ICD10CM:M04.2	Cryopyrin-associated periodic syndromes	semapv:LexicalMatching	rdi-lexmatch	1.0000		Muckle-Wells syndrome	oio:hasExactSynonym	owl class	owl class	Lexical tier raw_exact on the Mondo label.
MONDO:0008644	velocardiofacial syndrome	skos:exactMatch	ICD10CM:Q93.81	Velo-cardio-facial syndrome	semapv:CompositeMatching	claude-opus-5	0.9500	agentic_review			owl class	owl class	ICD-10-CM Q93.81 'Velo-cardio-facial syndrome' is the same entity as velocardiofacial (22q11.2 deletion) syndrome, differing only in hyphenation.
MONDO:0008667	von Hippel-Lindau disease	skos:exactMatch	ICD10CM:Q85.83	Von Hippel-Lindau syndrome	semapv:LexicalMatching	rdi-lexmatch	0.9800		Von Hippel-Lindau syndrome	rdfs:label	owl class	owl class	Lexical tier raw_exact on the Mondo synonym.
MONDO:0008692	abetalipoproteinemia	skos:exactMatch	ICD10CM:E78.6	Lipoprotein deficiency	semapv:LexicalMatching	rdi-lexmatch	1.0000	base_normalization	abetalipoproteinemia	oio:hasExactSynonym	owl class	owl class	Lexical tier normalized on the Mondo label.
MONDO:0008752	Alexander disease	skos:exactMatch	ICD10CM:G31.86	Alexander disease	semapv:LexicalMatching	rdi-lexmatch	1.0000		Alexander disease	rdfs:label	owl class	owl class	Lexical tier raw_exact on the Mondo label.
MONDO:0008783	Tangier disease	skos:exactMatch	ICD10CM:E78.6	Lipoprotein deficiency	semapv:LexicalMatching	rdi-lexmatch	1.0000		Tangier disease	oio:hasExactSynonym	owl class	owl class	Lexical tier raw_exact on the Mondo label.
MONDO:0008830	aspartylglucosaminuria	skos:exactMatch	ICD10CM:E77.1	Defects in glycoprotein degradation	semapv:LexicalMatching	rdi-lexmatch	1.0000	base_normalization	aspartylglucosaminuria	oio:hasExactSynonym	owl class	owl class	Lexical tier normalized on the Mondo label.
MONDO:0008840	ataxia telangiectasia	skos:exactMatch	ICD10CM:G11.3	Cerebellar ataxia with defective DNA repair	semapv:LexicalMatching	rdi-lexmatch	1.0000	base_normalization	ataxia telangiectasia	oio:hasExactSynonym	owl class	owl class	Lexical tier normalized on the Mondo label.
MONDO:0009050	Cushing disease due to pituitary adenoma	skos:exactMatch	ICD10CM:E24	Cushing's syndrome	semapv:LexicalMatching	rdi-lexmatch	0.8624	base_normalization|disease_to_syndrome	cushing's syndrome	rdfs:label	owl class	owl class	Lexical tier surgery on the Mondo synonym.
MONDO:0009072	Dandy-Walker syndrome	skos:exactMatch	ICD10CM:Q03.1	Atresia of foramina of Magendie and Luschka	semapv:LexicalMatching	rdi-lexmatch	1.0000		Dandy-Walker syndrome	oio:hasExactSynonym	owl class	owl class	Lexical tier raw_exact on the Mondo label.
MONDO:0009114	congenital sucrase-isomaltase deficiency	skos:exactMatch	ICD10CM:E74.31	Sucrase-isomaltase deficiency	semapv:LexicalMatching	rdi-lexmatch	0.9800	base_normalization	sucrase-isomaltase deficiency	rdfs:label	owl class	owl class	Lexical tier normalized on the Mondo synonym.
MONDO:0009254	fucosidosis	skos:exactMatch	ICD10CM:E77.1	Defects in glycoprotein degradation	semapv:LexicalMatching	rdi-lexmatch	1.0000	base_normalization	fucosidosis	oio:hasExactSynonym	owl class	owl class	Lexical tier normalized on the Mondo label.
MONDO:0009276	Bernard-Soulier syndrome	skos:exactMatch	ICD10CM:D69.1	Qualitative platelet defects	semapv:LexicalMatching	rdi-lexmatch	1.0000	base_normalization	bernard-soulier syndrome	oio:hasExactSynonym	owl class	owl class	Lexical tier normalized on the Mondo label.
MONDO:0009303	anti-glomerular basement membrane disease	skos:exactMatch	ICD10CM:M31.0	Hypersensitivity angiitis	semapv:LexicalMatching	rdi-lexmatch	0.9506	base_normalization|add_possessive	goodpasture's syndrome	oio:hasExactSynonym	owl class	owl class	Lexical tier surgery on the Mondo synonym.
MONDO:0009324	Hartnup disease	skos:exactMatch	ICD10CM:E72.02	Hartnup's disease	semapv:LexicalMatching	rdi-lexmatch	0.9700	base_normalization|add_possessive	hartnup's disease	rdfs:label	owl class	owl class	Lexical tier surgery on the Mondo label.
MONDO:0009443	autosomal recessive congenital ichthyosis 4B	skos:exactMatch	ICD10CM:Q80.4	Harlequin fetus	semapv:CompositeMatching	claude-opus-5	0.8500	agentic_review			owl class	owl class	ICD-10-CM Q80.4 'Harlequin fetus' is the classification's rubric for harlequin ichthyosis, the same disease as ARCI4B; 'fetus' vs 'ichthyosis' is ICD house naming, not a difference in extension.
MONDO:0009528	chylomicron retention disease	skos:exactMatch	ICD10CM:E78.3	Hyperchylomicronemia	semapv:LexicalMatching	rdi-lexmatch	1.0000	base_normalization	chylomicron retention disease	oio:hasExactSynonym	owl class	owl class	Lexical tier normalized on the Mondo label.
MONDO:0009669	spinal muscular atrophy, type 1	skos:exactMatch	ICD10CM:G12.0	Infantile spinal muscular atrophy, type I [Werdnig-Hoffman]	semapv:CompositeMatching	claude-opus-5	0.9000	agentic_review			owl class	owl class	ICD-10-CM G12.0 'Infantile spinal muscular atrophy, type I [Werdnig-Hoffman]' denotes the same disease as SMA type 1, the eponym and the type number naming one entity.
MONDO:0009675	autosomal recessive limb-girdle muscular dystrophy type 2A	skos:exactMatch	ICD10CM:G71.032	Autosomal recessive limb girdle muscular dystrophy due to calpain-3 dysfunction	semapv:LexicalMatching	rdi-lexmatch	0.9800	base_normalization	primary calpainopathy	oio:hasExactSynonym	owl class	owl class	Lexical tier normalized on the Mondo synonym.
MONDO:0009697	Lafora disease	skos:exactMatch	ICD10CM:G40.C	Lafora progressive myoclonus epilepsy	semapv:CompositeMatching	claude-opus-5	0.9000	agentic_review			owl class	owl class	ICD-10-CM G40.C 'Lafora progressive myoclonus epilepsy' denotes the same disease as Lafora disease; the ICD rubric spells out the progressive myoclonus epilepsy phenotype of the same entity.
MONDO:0009796	ornithine aminotransferase deficiency	skos:exactMatch	ICD10CM:H31.23	Gyrate atrophy, choroid	semapv:CompositeMatching	claude-opus-5	0.6000	agentic_review			owl class	owl class	ICD-10-CM H31.23 'Gyrate atrophy, choroid' names gyrate atrophy of the choroid and retina, which is the same disease entity as ornithine aminotransferase deficiency (an explicit Mondo synonym), whereas the alternative E72.4 'Disorders of ornithine metabolism' is a broader grouping.
MONDO:0009833	Shwachman-Diamond syndrome	skos:exactMatch	ICD10CM:D61.02	Shwachman-Diamond syndrome	semapv:LexicalMatching	rdi-lexmatch	1.0000		Shwachman-Diamond syndrome	rdfs:label	owl class	owl class	Lexical tier raw_exact on the Mondo label.
MONDO:0009852	hereditary intrinsic factor deficiency	skos:exactMatch	ICD10CM:D51.0	Vitamin B12 deficiency anemia due to intrinsic factor deficiency	semapv:LexicalMatching	rdi-lexmatch	0.9800	base_normalization	congenital intrinsic factor deficiency	oio:hasExactSynonym	owl class	owl class	Lexical tier normalized on the Mondo synonym.
MONDO:0009902	cutaneous porphyria	skos:exactMatch	ICD10CM:E80.0	Hereditary erythropoietic porphyria	semapv:LexicalMatching	rdi-lexmatch	0.9800	base_normalization	congenital erythropoietic porphyria	oio:hasExactSynonym	owl class	owl class	Lexical tier normalized on the Mondo synonym.
